Iteration, Input-matrix-size, Best-size-produced-by-the-hillClimbing-algorithm, Best-size-produced-by-the-simmulatedAnnealing-algorithm, Total-runtime-by-the-hillClimbing-algorithm, Total-runtime-by-the-simmulatedAnnealing-algorithm, Absolute-Difference-in-total-runtimes-by-both-algorithms
45, 1000000, 1569, 1500, 0.368, 45.618, 45.25
46, 1000000, 1530, 1500, 0.353, 46.301, 45.948
47, 1000000, 1389, 1500, 0.287, 2.099, 1.812
48, 1000000, 1389, 1503, 0.264, 2.192, 1.928
49, 1000000, 1389, 1500, 0.281, 2.178, 1.897
50, 1000000, 1668, 1587, 0.38, 2.237, 1.857
51, 1000000, 1524, 1500, 0.273, 45.821, 45.548
52, 1000000, 1389, 1623, 0.277, 2.241, 1.964
53, 1000000, 1668, 1500, 0.372, 46.963, 46.591
54, 1000000, 1569, 1623, 0.39, 2.39, 2
55, 1000000, 1389, 1539, 0.275, 2.299, 2.024
56, 1000000, 1668, 1587, 0.429, 2.56, 2.131
57, 1000000, 1530, 1587, 0.409, 2.445, 2.036
58, 1000000, 1389, 1500, 0.33, 46.654, 46.324
59, 1000000, 1530, 1503, 0.356, 2.108, 1.752
60, 1000000, 1389, 1500, 0.271, 2.088, 1.817
61, 1000000, 1668, 1539, 0.367, 2.129, 1.762
62, 1000000, 1530, 1587, 0.354, 2.226, 1.872
63, 1000000, 1530, 1623, 0.348, 2.205, 1.857
64, 1000000, 1530, 1539, 0.357, 2.117, 1.76
65, 1000000, 1569, 1500, 0.368, 46.449, 46.081
66, 1000000, 1389, 1500, 0.27, 2.121, 1.851
67, 1000000, 1530, 1500, 0.36, 2.112, 1.752
68, 1000000, 1530, 1383, 0.357, 44.436, 44.079
69, 1000000, 1569, 1500, 0.378, 2.114, 1.736
70, 1000000, 1389, 1500, 0.272, 2.175, 1.903
71, 1000000, 1464, 1539, 0.281, 2.233, 1.952
72, 1000000, 1668, 1500, 0.38, 46.463, 46.083
73, 1000000, 1530, 1503, 0.358, 2.138, 1.78
74, 1000000, 1530, 1500, 0.358, 47.276, 46.918
75, 1000000, 1530, 1500, 0.365, 47.369, 47.004
76, 1000000, 1389, 1500, 0.277, 2.157, 1.88
77, 1000000, 1464, 1500, 0.291, 48.224, 47.933
78, 1000000, 1668, 1500, 0.394, 2.153, 1.759
79, 1000000, 1569, 1500, 0.384, 50.696, 50.312
80, 1000000, 1530, 1539, 0.373, 2.215, 1.842
81, 1000000, 1668, 1539, 0.412, 2.221, 1.809
82, 1000000, 1389, 1587, 0.273, 2.267, 1.994
83, 1000000, 1389, 1539, 0.277, 2.207, 1.93
84, 1000000, 1389, 1587, 0.272, 2.261, 1.989
85, 1000000, 1569, 1539, 0.373, 2.215, 1.842
86, 1000000, 1668, 1623, 0.39, 2.339, 1.949
87, 1000000, 1464, 1503, 0.289, 2.193, 1.904
88, 1000000, 1668, 1500, 0.383, 47.483, 47.1
89, 1000000, 1569, 1500, 0.421, 48.675, 48.254
90, 1000000, 1524, 1500, 0.279, 49.029, 48.75
91, 1000000, 1569, 1500, 0.523, 2.328, 1.805
92, 1000000, 1464, 1500, 0.282, 2.219, 1.937
93, 1000000, 1569, 1503, 0.414, 2.299, 1.885
94, 1000000, 1569, 1587, 0.397, 2.296, 1.899
95, 1000000, 1389, 1503, 0.273, 2.203, 1.93
96, 1000000, 1389, 1503, 0.278, 2.196, 1.918
97, 1000000, 1668, 1587, 0.38, 2.793, 2.413
98, 1000000, 1389, 1500, 0.273, 47.553, 47.28
99, 1000000, 1530, 1539, 0.367, 2.202, 1.835
100, 1000000, 1530, 1500, 0.36, 2.165, 1.805
