Iteration, Input-matrix-size, Best-size-produced-by-the-hillClimbing-algorithm, Best-size-produced-by-the-simmulatedAnnealing-algorithm, Total-runtime-by-the-hillClimbing-algorithm, Total-runtime-by-the-simmulatedAnnealing-algorithm, Absolute-Difference-in-total-runtimes-by-both-algorithms
68, 160000, 603, 567, 0.146, 8.154, 8.008
69, 160000, 615, 624, 0.12, 0.625, 0.505
70, 160000, 603, 570, 0.119, 8.234, 8.115
71, 160000, 660, 567, 0.167, 8.133, 7.966
72, 160000, 615, 588, 0.161, 8.68, 8.519
73, 160000, 603, 567, 0.118, 8.313, 8.195
74, 160000, 660, 624, 0.168, 0.665, 0.497
75, 160000, 573, 567, 0.126, 8.148, 8.022
76, 160000, 603, 570, 0.117, 7.652, 7.535
77, 160000, 573, 567, 0.109, 7.471, 7.362
78, 160000, 573, 624, 0.11, 0.579, 0.469
79, 160000, 660, 570, 0.152, 7.344, 7.192
80, 160000, 660, 567, 0.156, 7.31, 7.154
81, 160000, 660, 6486500, 0.153, 10.775, 10.622
82, 160000, 603, 588, 0.113, 7.725, 7.612
83, 160000, 660, 588, 0.156, 7.718, 7.562
84, 160000, 615, 567, 0.146, 7.333, 7.187
85, 160000, 573, 582, 0.11, 7.374, 7.264
86, 160000, 603, 621, 0.113, 0.616, 0.503
87, 160000, 573, 621, 0.11, 0.615, 0.505
88, 160000, 615, 570, 0.132, 7.378, 7.246
89, 160000, 573, 621, 0.11, 0.609, 0.499
90, 160000, 615, 567, 0.133, 7.39, 7.257
91, 160000, 573, 621, 0.109, 0.601, 0.492
92, 160000, 615, 588, 0.135, 7.756, 7.621
93, 160000, 573, 567, 0.114, 7.344, 7.23
94, 160000, 573, 570, 0.116, 7.298, 7.182
95, 160000, 615, 630, 0.141, 7.806, 7.665
96, 160000, 573, 624, 0.108, 0.575, 0.467
97, 160000, 603, 567, 0.111, 7.27, 7.159
98, 160000, 660, 582, 0.151, 7.334, 7.183
99, 160000, 660, 621, 0.153, 0.611, 0.458
100, 160000, 615, 621, 0.144, 0.62, 0.476
