Iteration, Input-matrix-size, Best-size-produced-by-the-hillClimbing-algorithm, Best-size-produced-by-the-simmulatedAnnealing-algorithm, Total-runtime-by-the-hillClimbing-algorithm, Total-runtime-by-the-simmulatedAnnealing-algorithm, Absolute-Difference-in-total-runtimes-by-both-algorithms
0, 810000, 1353, 1341, 0.278, 37.022, 36.744
1, 810000, 1353, 1308, 0.28, 35.067, 34.787
2, 810000, 1359, 1257, 0.324, 34.898, 34.574
3, 810000, 1353, 1386, 0.288, 39.19, 38.902
4, 810000, 1434, 1341, 0.34, 37.094, 36.754
5, 810000, 1278, 1356, 0.25, 38.649, 38.399
6, 810000, 1278, 1308, 0.257, 37.196, 36.939
7, 810000, 1359, 1308, 0.327, 37.437, 37.11
8, 810000, 1434, 1386, 0.339, 37.018, 36.679
9, 810000, 1278, 1386, 0.242, 36.972, 36.73
10, 810000, 1434, 1341, 0.338, 36.745, 36.407
11, 810000, 1359, 1386, 0.317, 37.087, 36.77
12, 810000, 1323, 1341, 0.266, 38.199, 37.933
13, 810000, 1434, 1356, 0.36, 39.004, 38.644
14, 810000, 1278, 1356, 0.259, 37.928, 37.669
15, 810000, 1278, 1356, 0.252, 36.57, 36.318
16, 810000, 1359, 1257, 0.324, 36.059, 35.735
17, 810000, 1278, 1257, 0.252, 36.718, 36.466
18, 810000, 1353, 1434, 0.277, 2.05, 1.773
19, 810000, 1434, 6486500, 0.38, 55.538, 55.158
20, 810000, 1434, 1308, 0.339, 35.201, 34.862
21, 810000, 1353, 1341, 0.291, 37.56, 37.269
22, 810000, 1278, 6486500, 0.252, 54.167, 53.915
23, 810000, 1359, 1386, 0.321, 37.878, 37.557
24, 810000, 1278, 6486500, 0.242, 54.88, 54.638
25, 810000, 1323, 1257, 0.247, 34.571, 34.324
26, 810000, 1434, 1257, 0.342, 34.477, 34.135
27, 810000, 1323, 6486500, 0.255, 56.042, 55.787
28, 810000, 1278, 1272, 0.298, 36.022, 35.724
29, 810000, 1434, 1356, 0.332, 36.211, 35.879
30, 810000, 1434, 1308, 0.346, 35.575, 35.229
31, 810000, 1278, 1356, 0.262, 36.276, 36.014
32, 810000, 1359, 1341, 0.33, 36.231, 35.901
33, 810000, 1278, 1434, 0.246, 1.795, 1.549
34, 810000, 1359, 1341, 0.325, 36.775, 36.45
35, 810000, 1434, 1272, 0.331, 35.708, 35.377
36, 810000, 1434, 1434, 0.339, 1.826, 1.487
37, 810000, 1359, 1257, 0.341, 35.331, 34.99
38, 810000, 1434, 1272, 0.336, 35.524, 35.188
39, 810000, 1353, 1308, 0.288, 35.101, 34.813
40, 810000, 1434, 1386, 0.334, 37.026, 36.692
41, 810000, 1323, 1308, 0.25, 34.989, 34.739
42, 810000, 1434, 1308, 0.329, 35.467, 35.138
43, 810000, 1434, 1356, 0.333, 36.554, 36.221
44, 810000, 1353, 1386, 0.248, 37.442, 37.194
45, 810000, 1353, 1386, 0.242, 37.233, 36.991
46, 810000, 1434, 1257, 0.333, 34.695, 34.362
47, 810000, 1359, 1257, 0.317, 34.575, 34.258
48, 810000, 1278, 1257, 0.245, 34.632, 34.387
49, 810000, 1323, 1356, 0.25, 36.476, 36.226
50, 810000, 1434, 1341, 0.333, 38.337, 38.004
51, 810000, 1434, 1257, 0.334, 35.089, 34.755
52, 810000, 1359, 1356, 0.323, 36.051, 35.728
53, 810000, 1434, 1257, 0.337, 35.023, 34.686
54, 810000, 1434, 6486500, 0.328, 53.208, 52.88
55, 810000, 1323, 1434, 0.254, 1.786, 1.532
56, 810000, 1353, 1386, 0.247, 37.225, 36.978
57, 810000, 1278, 1386, 0.241, 37.295, 37.054
58, 810000, 1353, 1386, 0.284, 37.006, 36.722
59, 810000, 1359, 1257, 0.325, 34.048, 33.723
60, 810000, 1434, 1356, 0.325, 35.477, 35.152
61, 810000, 1359, 1386, 0.323, 36.49, 36.167
62, 810000, 1353, 1272, 0.25, 34.983, 34.733
63, 810000, 1353, 1434, 0.283, 1.775, 1.492
64, 810000, 1353, 1341, 0.25, 35.974, 35.724
65, 810000, 1278, 1386, 0.246, 37.577, 37.331
66, 810000, 1359, 1356, 0.337, 36.019, 35.682
67, 810000, 1359, 1257, 0.315, 34.767, 34.452
68, 810000, 1353, 1272, 0.289, 35.38, 35.091
69, 810000, 1278, 1257, 0.246, 34.87, 34.624
70, 810000, 1323, 1308, 0.253, 35.329, 35.076
