Iteration, Input-matrix-size, Best-size-produced-by-the-hillClimbing-algorithm, Best-size-produced-by-the-simmulatedAnnealing-algorithm, Total-runtime-by-the-hillClimbing-algorithm, Total-runtime-by-the-simmulatedAnnealing-algorithm, Absolute-Difference-in-total-runtimes-by-both-algorithms
69, 250000, 726, 804, 0.129, 0.8, 0.671
70, 250000, 801, 723, 0.177, 11.027, 10.85
71, 250000, 801, 744, 0.181, 11.627, 11.446
72, 250000, 801, 720, 0.185, 11.556, 11.371
73, 250000, 801, 720, 0.192, 11.353, 11.161
74, 250000, 804, 804, 0.181, 0.796, 0.615
75, 250000, 801, 744, 0.183, 11.648, 11.465
76, 250000, 804, 753, 0.177, 12.363, 12.186
77, 250000, 795, 723, 0.165, 12.181, 12.016
78, 250000, 804, 723, 0.186, 12.051, 11.865
79, 250000, 795, 711, 0.145, 11.736, 11.591
80, 250000, 801, 711, 0.204, 11.158, 10.954
81, 250000, 804, 753, 0.183, 12.124, 11.941
82, 250000, 726, 804, 0.138, 0.814, 0.676
83, 250000, 786, 720, 0.187, 11.5, 11.313
84, 250000, 726, 720, 0.136, 11.468, 11.332
85, 250000, 801, 723, 0.185, 11.368, 11.183
86, 250000, 804, 720, 0.183, 11.431, 11.248
87, 250000, 786, 753, 0.187, 12.312, 12.125
88, 250000, 726, 801, 0.131, 0.82, 0.689
89, 250000, 786, 720, 0.181, 11.756, 11.575
90, 250000, 795, 801, 0.149, 0.819, 0.67
91, 250000, 786, 720, 0.187, 11.493, 11.306
92, 250000, 726, 723, 0.142, 11.335, 11.193
93, 250000, 804, 720, 0.186, 11.389, 11.203
94, 250000, 801, 747, 0.194, 11.384, 11.19
95, 250000, 726, 747, 0.137, 11.376, 11.239
96, 250000, 786, 720, 0.179, 11.533, 11.354
97, 250000, 786, 0, 0.181, 12.213, 12.032
98, 250000, 804, 744, 0.183, 11.803, 11.62
99, 250000, 795, 711, 0.15, 11.06, 10.91
100, 250000, 786, 804, 0.178, 0.806, 0.628
