Iteration, Input-matrix-size, Best-size-produced-by-the-hillClimbing-algorithm, Best-size-produced-by-the-simmulatedAnnealing-algorithm, Total-runtime-by-the-hillClimbing-algorithm, Total-runtime-by-the-simmulatedAnnealing-algorithm, Absolute-Difference-in-total-runtimes-by-both-algorithms
0, 640000, 1239, 1242, 0.249, 1.72, 1.471
1, 640000, 1239, 1236, 0.265, 32.458, 32.193
2, 640000, 1224, 1230, 0.299, 1.614, 1.315
3, 640000, 1305, 1224, 0.402, 30.435, 30.033
4, 640000, 1197, 1152, 0.232, 29.291, 29.059
5, 640000, 1224, 1230, 0.302, 1.628, 1.326
6, 640000, 1239, 1176, 0.234, 29.611, 29.377
7, 640000, 1224, 1242, 0.296, 1.64, 1.344
8, 640000, 1218, 1242, 0.294, 1.645, 1.351
9, 640000, 1218, 1317, 0.297, 1.734, 1.437
10, 640000, 1218, 1317, 0.292, 1.738, 1.446
11, 640000, 1224, 1230, 0.295, 1.618, 1.323
12, 640000, 1224, 1230, 0.295, 1.716, 1.421
13, 640000, 1335, 1176, 0.322, 30.851, 30.529
14, 640000, 1224, 1230, 0.299, 1.593, 1.294
15, 640000, 1197, 1224, 0.233, 31.008, 30.775
16, 640000, 1224, 1230, 0.289, 1.651, 1.362
17, 640000, 1197, 1236, 0.225, 29.769, 29.544
18, 640000, 1239, 1317, 0.228, 1.662, 1.434
19, 640000, 1218, 1242, 0.299, 1.681, 1.382
20, 640000, 1305, 1176, 0.409, 29.467, 29.058
21, 640000, 1335, 1152, 0.339, 28.472, 28.133
22, 640000, 1224, 1224, 0.29, 30.209, 29.919
23, 640000, 1218, 1242, 0.314, 1.659, 1.345
24, 640000, 1218, 1317, 0.308, 1.68, 1.372
25, 640000, 1335, 1230, 0.295, 1.54, 1.245
26, 640000, 1224, 1230, 0.29, 1.556, 1.266
27, 640000, 1218, 1176, 0.287, 29.192, 28.905
28, 640000, 1224, 1230, 0.284, 1.623, 1.339
29, 640000, 1224, 1230, 0.315, 1.796, 1.481
30, 640000, 1197, 1317, 0.231, 1.675, 1.444
31, 640000, 1224, 1236, 0.314, 29.76, 29.446
32, 640000, 1335, 1230, 0.308, 1.571, 1.263
33, 640000, 1218, 1317, 0.296, 1.667, 1.371
34, 640000, 1335, 6486500, 0.303, 45.022, 44.719
35, 640000, 1218, 1230, 0.331, 1.731, 1.4
36, 640000, 1224, 1302, 0.309, 24.454, 24.145
37, 640000, 1239, 1230, 0.238, 1.585, 1.347
38, 640000, 1218, 1176, 0.299, 28.744, 28.445
39, 640000, 1197, 1317, 0.221, 1.675, 1.454
40, 640000, 1305, 1224, 0.366, 30.494, 30.128
41, 640000, 1218, 1230, 0.291, 1.641, 1.35
42, 640000, 1218, 1176, 0.294, 29.201, 28.907
43, 640000, 1224, 1242, 0.293, 1.565, 1.272
44, 640000, 1305, 1230, 0.373, 1.543, 1.17
45, 640000, 1335, 1236, 0.307, 28.957, 28.65
46, 640000, 1197, 1230, 0.219, 1.563, 1.344
47, 640000, 1218, 1236, 0.286, 30.059, 29.773
48, 640000, 1197, 1236, 0.245, 29.753, 29.508
49, 640000, 1335, 1242, 0.302, 1.57, 1.268
50, 640000, 1239, 1236, 0.226, 29.461, 29.235
51, 640000, 1239, 1242, 0.223, 1.56, 1.337
52, 640000, 1239, 1224, 0.253, 29.59, 29.337
53, 640000, 1218, 1242, 0.288, 1.601, 1.313
54, 640000, 1305, 1317, 0.374, 1.774, 1.4
55, 640000, 1335, 1218, 0.335, 30.266, 29.931
56, 640000, 1218, 1218, 0.299, 30.353, 30.054
57, 640000, 1224, 1224, 0.285, 29.668, 29.383
58, 640000, 1218, 1176, 0.286, 29.304, 29.018
59, 640000, 1239, 1230, 0.235, 1.546, 1.311
60, 640000, 1305, 1242, 0.371, 1.575, 1.204
61, 640000, 1305, 1224, 0.372, 30.135, 29.763
62, 640000, 1239, 1317, 0.243, 1.709, 1.466
63, 640000, 1239, 1176, 0.253, 29.222, 28.969
64, 640000, 1218, 1230, 0.291, 1.644, 1.353
65, 640000, 1218, 1149, 0.289, 28.734, 28.445
66, 640000, 1239, 1230, 0.231, 1.599, 1.368
67, 640000, 1239, 1176, 0.251, 29.144, 28.893
68, 640000, 1335, 1224, 0.303, 30.223, 29.92
69, 640000, 1335, 1242, 0.316, 1.597, 1.281
70, 640000, 1335, 1236, 0.304, 30.513, 30.209
71, 640000, 1218, 1236, 0.286, 29.54, 29.254
72, 640000, 1224, 1242, 0.312, 1.744, 1.432
73, 640000, 1218, 1317, 0.308, 1.752, 1.444
74, 640000, 1224, 1224, 0.289, 29.813, 29.524
75, 640000, 1218, 1317, 0.284, 1.676, 1.392
76, 640000, 1335, 1242, 0.301, 1.622, 1.321
77, 640000, 1218, 1236, 0.29, 29.068, 28.778
78, 640000, 1224, 1308, 0.291, 15.021, 14.73
79, 640000, 1224, 1230, 0.316, 1.563, 1.247
80, 640000, 1239, 1176, 0.22, 29.365, 29.145
81, 640000, 1305, 1317, 0.371, 1.686, 1.315
82, 640000, 1218, 1317, 0.309, 1.655, 1.346
83, 640000, 1224, 1230, 0.289, 1.556, 1.267
84, 640000, 1224, 1230, 0.29, 1.543, 1.253
85, 640000, 1224, 1230, 0.284, 1.561, 1.277
86, 640000, 1218, 1224, 0.286, 29.602, 29.316
87, 640000, 1218, 1242, 0.295, 1.565, 1.27
88, 640000, 1239, 1224, 0.221, 29.545, 29.324
89, 640000, 1305, 1230, 0.388, 1.575, 1.187
90, 640000, 1197, 1236, 0.232, 29.417, 29.185
91, 640000, 1335, 1230, 0.292, 1.566, 1.274
92, 640000, 1224, 1218, 0.289, 29.989, 29.7
93, 640000, 1218, 1317, 0.299, 1.796, 1.497
94, 640000, 1335, 1230, 0.37, 1.804, 1.434
95, 640000, 1305, 1230, 0.393, 1.648, 1.255
96, 640000, 1335, 1230, 0.305, 1.549, 1.244
97, 640000, 1218, 1242, 0.281, 1.684, 1.403
98, 640000, 1224, 1230, 0.299, 1.562, 1.263
99, 640000, 1197, 1317, 0.217, 1.906, 1.689
100, 640000, 1218, 6486500, 0.307, 43.195, 42.888
